RANK,OCCUPATION,NUMBER OF LCA,AVERAGE SALARY
94,Logistics Analysts,542,"$86,587"
95,"Transportation, Storage, and Distribution Managers",536,"$122,100"
96,"Biological Science Teachers, Postsecondary",524,"$90,363"
97,"Software Developers, Applications, Non R&D",523,"$104,626"
97,Food Scientists and Technologists,523,"$87,986"
99,Microbiologists,520,"$74,066"
100,Mechatronics Engineers,519,"$108,849"
101,Environmental Engineers,502,"$93,442"
102,"Pediatricians, General",492,"$203,709"
102,Multimedia Artists and Animators,492,"$109,542"
104,Robotics Engineers,477,"$134,147"
105,Social Science Research Assistants,451,"$66,015"
106,"Physicians, All Other",448,"$277,014"
107,"Economics Teachers, Postsecondary",445,"$115,638"
108,"Healthcare Practitioners and Technical Workers, All Other",428,"$73,923"
109,Training and Development Specialists,427,"$81,877"
110,Human Factors Engineers and Ergonomists,420,"$130,936"
111,Soil and Plant Scientists,418,"$66,854"
112,Pharmacists,408,"$124,032"
113,Mathematicians,400,"$136,154"
114,Interior Designers,393,"$72,716"
115,"Engineers, All Other",381,"$97,030"
116,Veterinarians,379,"$128,221"
117,Mental Health Counselors,370,"$59,989"
118,"Airline Pilots, Copilots, and Flight Engineers",365,"$133,901"
119,Family and General Practitioners,363,"$224,336"
120,Human Resources Managers,356,"$162,517"
120,Purchasing Managers,356,"$139,374"
122,Psychiatrists,352,"$257,523"
123,Speech-Language Pathologists,350,"$87,650"
124,Credit Analysts,348,"$116,474"
125,"Art, Drama, and Music Teachers, Postsecondary",344,"$71,168"
126,Logistics Engineers,341,"$96,748"
127,"Environmental Scientists and Specialists, Including Health",340,"$79,992"
128,Epidemiologists,333,"$91,357"
129,"Business Operations Specialists, All Other",321,"$84,230"
130,Landscape Architects,319,"$69,238"
131,Instructional Coordinators,310,"$71,827"
132,Aerospace Engineers,308,"$112,682"
133,"Geoscientists, Except Hydrologists and Geographers",306,"$101,625"
134,Budget Analysts,296,"$92,257"
135,Architectural Drafters,295,"$63,773"
136,Regulatory Affairs Managers,294,"$157,100"
136,Art Directors,294,"$151,078"
136,Computer Network Support Specialists,294,"$84,541"
139,Coaches and Scouts,275,"$51,811"
140,"Financial Specialists, All Other",268,"$127,292"
140,Auditors,268,"$97,967"
142,"Chemistry Teachers, Postsecondary",260,"$76,948"
143,"Education Administrators, Postsecondary",252,"$111,744"
144,Technical Writers,251,"$106,310"
145,Neurologists,247,"$283,169"
146,"Electrical Engineers, R&D",246,"$86,275"
146,Urban and Regional Planners,246,"$85,886"
146,Agricultural Inspectors,246,"$45,813"
149,"Physics Teachers, Postsecondary",241,"$93,499"
150,Transportation Engineers,240,"$91,134"
152,"Health Diagnosing and Treating Practitioners, All Other",237,"$79,377"
153,"Mechanical Engineers, R&D",236,"$78,725"
153,"Communications Teachers, Postsecondary",236,"$71,923"
155,Clinical Research Coordinators,227,"$98,344"
156,Photonics Engineers,223,"$139,426"
157,Quality Control Systems Managers,221,"$123,346"
158,"Political Science Teachers, Postsecondary",219,"$83,049"
159,Advertising and Promotions Managers,210,"$153,403"
160,Search Marketing Strategists,209,"$108,720"
161,Bioengineers and Biomedical Engineers,208,"$106,146"
162,Judicial Law Clerks,207,"$99,287"
163,Compliance Officers,205,"$100,478"
163,"Postsecondary Teachers, All Other",205,"$72,480"
165,Survey Researchers,202,"$104,070"
166,Surgeons,193,"$368,853"
166,Energy Engineers,193,"$97,840"
168,Anesthesiologists,191,"$330,606"
169,"Teachers and Instructors, All Other",188,"$55,105"
170,"Securities, Commodities, and Financial Services Sales Agents",187,"$177,209"
170,Computer User Support Specialists,187,"$82,358"
172,"Psychology Teachers, Postsecondary",183,"$78,092"
173,"Managers, All Other",179,"$144,760"
174,Compliance Managers,177,"$160,899"
174,Sustainability Specialists,177,"$95,617"
176,"English Language and Literature Teachers, Postsecondary",175,"$72,218"
176,Architectural and Civil Drafters,175,"$67,809"
178,Editors,173,"$85,162"
178,Social and Community Service Managers,173,"$84,394"
178,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",173,"$82,520"
181,Geneticists,170,"$82,273"
182,General Internal Medicine Physicians,169,"$237,857"
183,"Educational, Guidance, School, and Vocational Counselors",166,"$55,542"
184,Radiologists,165,"$308,955"
184,Occupational Therapists,165,"$99,101"
186,Logistics Managers,163,"$124,166"
186,Atmospheric and Space Scientists,163,"$85,899"
188,Financial Risk Specialists,162,"$149,644"
189,"Philosophy and Religion Teachers, Postsecondary",160,"$78,616"
190,Astronomers,157,"$90,647"
191,"Computer Systems Analysts, Non R&D",150,"$106,222"
192,Treasurers and Controllers,149,"$174,695"
193,Fashion Designers,145,"$79,244"
194,Paralegals and Legal Assistants,143,"$91,789"
195,"Architecture Teachers, Postsecondary",139,"$86,762"
196,Information Security Engineers,137,"$145,570"
197,"Special Education Teachers, Secondary School",136,"$58,304"
198,"Agricultural Sciences Teachers, Postsecondary",135,"$86,683"
199,Exercise Physiologists,134,"$68,104"
200,Sociologists,133,"$80,906"
